College,City,Role,Previous CTC,Previous job change,Graduation Marks,EXP (Month),CTC
"Amrita University, Coimbatore",Kolhapur,Executive,55764.00,2,64,63,82356.41
IIIT Hyderabad,Durgapur,Manager,60894.00,4,80,28,118651.89
NIT Raipur,Rourkela,Executive,42259.00,4,37,19,66762.27
TIET/Thapar University,Kozhikode,Executive,59978.00,2,75,62,79454.74
NSUT Delhi (NSIT),Hyderabad,Executive,47129.00,1,41,26,66079.85
IIIT Jabalpur,Rourkela,Manager,57485.00,1,77,35,103774.34
NIT Kurukshetra,Kozhikode,Manager,62593.00,3,71,60,112716.44
IGDTUW,Surat,Executive,48913.00,3,41,24,62819.16
Manipal Main Campus,Rajpur Sonarpur,Executive,66101.00,4,81,31,55470.55
IIT ISM Dhanbad,Ahmedabad,Executive,49622.00,2,73,41,69510.05
BITS Pilani (Pilani Campus),Chennai,Executive,59386.00,4,46,37,68064.76
"Jaypee, Noida",Kolkata,Executive,66050.00,1,35,38,69116.93
"Heritage Institute of Technology, Kolkata",Chennai,Executive,59492.00,1,69,55,86354.84
SRM Main Campus,Rourkela,Executive,61134.00,3,72,18,60456.69
Manipal Main Campus,Asansol,Executive,61956.00,4,54,28,71791.28
NIT Sikkim,Surat,Executive,46086.00,4,50,60,67626.89
SRM Main Campus,Ahmedabad,Manager,61481.00,3,79,36,99794.40
IIIT Delhi,Rourkela,Executive,55727.00,3,79,18,70350.79
IIIT Allahabad,Rourkela,Executive,61576.00,2,73,21,58818.77
SVNIT Surat,Kolhapur,Manager,57563.00,1,64,48,86487.58
"Techno India, Kolkata",Delhi,Manager,58288.00,3,84,36,92378.50
IIT Madras,Kozhikode,Executive,55282.00,3,60,40,73281.55
IIIT Hyderabad,Kozhikode,Manager,66624.00,1,63,58,110438.17
IIT Roorkee,Rajpur Sonarpur,Executive,59443.00,3,52,58,67485.10
BITS Pilani (Hyderabad Campus),Ajmer,Manager,51937.00,3,64,18,92518.37
Amity University,Durgapur,Manager,46477.00,3,37,53,72977.63
R.V. College of Engineering,Pune,Executive,62470.00,3,60,34,64770.75
NIT Raipur,Delhi,Executive,51123.00,2,52,43,74845.87
Jadavpur University,Delhi,Executive,56301.00,3,58,25,59913.31
IIT Roorkee,Surat,Executive,46670.00,1,69,64,95961.18
"BMS College, Bangalore",Hyderabad,Executive,54375.00,2,82,28,60766.38
IIT Madras,Hyderabad,Manager,45227.00,4,40,20,69193.96
NIT Warangal,Chennai,Executive,50787.00,4,81,19,66433.40
"Techno India, Kolkata",Kozhikode,Executive,62919.00,3,42,61,73410.95
IIT BHU (Varanasi),Kolkata,Executive,51770.00,3,45,40,68447.63
"KIIT, Bhubaneswar",Surat,Executive,60123.00,1,47,40,60185.40
"MAIT, Delhi",Bangalore,Manager,51002.00,4,41,28,76765.02
"KIIT, Bhubaneswar",Kolhapur,Manager,46940.00,1,69,27,70157.03
IIT Guwahati,Kolkata,Executive,49905.00,4,66,31,75297.34
IIT Madras,Rajpur Sonarpur,Executive,51505.00,2,55,53,76960.48
"PES University, Bangalore",Delhi,Executive,52474.00,3,79,58,76204.89
"MSIT, Delhi",Kozhikode,Executive,49172.00,2,57,44,63782.20
NIT Durgapur,Chennai,Executive,56916.00,3,42,57,69415.11
NIT Durgapur,Kolhapur,Executive,59386.00,1,38,29,64472.36
TIET/Thapar University,Hyderabad,Executive,55748.00,3,84,21,60815.42
DAIICT,Rourkela,Executive,65574.00,2,83,22,55902.83
NIT Sikkim,Chennai,Executive,58541.00,4,79,41,64468.29
Manipal Main Campus,Delhi,Executive,50672.00,4,79,31,76093.36
"IEM, Kolkata",Surat,Executive,68071.00,1,70,45,81430.49
NIT Surathkal (Karnataka),Ajmer,Manager,58815.00,4,71,22,106165.08
VIT Vellore,Bangalore,Executive,62493.00,3,74,48,67374.71
MNIT Jaipur,Pune,Manager,60182.00,4,59,37,103574.45
IIT Guwahati,Rajpur Sonarpur,Manager,42941.00,1,49,45,74191.43
"MSIT, Delhi",Ajmer,Manager,55505.00,2,40,57,100887.85
IIT Indore,Ahmedabad,Executive,54114.00,3,82,56,78715.16
Jalpaiguri Government Engineering College,Kolkata,Executive,57670.00,1,41,46,70686.71
BITS Pilani (Goa Campus),Pune,Executive,54361.00,2,68,55,73231.75
VIT Vellore,Pune,Executive,67083.00,4,39,21,66296.73
"Techno India, Kolkata",Chennai,Executive,52483.00,2,65,53,71738.23
Amity University,Kozhikode,Manager,55581.00,4,49,59,99551.34
"Dayanand College of Engineering, Bangalore",Chennai,Executive,62243.00,1,41,35,75903.42
SRM Main Campus,Kolkata,Manager,59293.00,1,81,64,105308.78
IIT Delhi,Ahmedabad,Executive,59707.00,3,70,28,56003.61
IIEST/BESU Shibpur,Bangalore,Executive,57726.00,4,84,54,68673.29
IIT Roorkee,Delhi,Executive,58401.00,4,45,55,76028.50
NSUT Delhi (NSIT),Durgapur,Manager,41228.00,2,64,56,87418.05
IIT Delhi,Ajmer,Manager,40945.00,1,46,38,74984.02
DTU,Chennai,Executive,54794.00,4,47,41,66591.29
MNNIT Allahabad,Chennai,Executive,51692.00,2,57,30,72088.04
IIITM Gwalior,Durgapur,Executive,52305.00,1,35,18,78521.17
NIT Durgapur,Ahmedabad,Manager,56680.00,4,63,61,85688.72
BITS Pilani (Goa Campus),Rajpur Sonarpur,Executive,52300.00,4,52,34,66657.86
Jadavpur University,Surat,Manager,56710.00,2,47,20,67879.02
IIT Kharagpur,Hyderabad,Executive,51351.00,1,69,19,60069.68
SVNIT Surat,Ahmedabad,Executive,51022.00,2,55,26,67820.31
MNIT Jaipur,Rajpur Sonarpur,Executive,52096.00,3,37,29,65685.02
IIT Ropar,Surat,Manager,59099.00,2,67,63,103305.30
VIT Vellore,Bangalore,Executive,57677.00,4,77,54,76671.69
Punjab Engineering College,Rourkela,Executive,59343.00,3,85,55,76577.99
NIT Raipur,Bangalore,Executive,54767.00,1,35,37,66693.98
NIT Durgapur,Rajpur Sonarpur,Executive,60869.00,1,77,21,60125.97
SRM Main Campus,Delhi,Executive,53949.00,4,81,52,80042.11
NIT Patna,Delhi,Executive,48707.00,4,77,60,97106.11
"MSIT, Delhi",Delhi,Executive,77911.00,1,50,58,87831.62
Manipal Main Campus,Kozhikode,Manager,54183.00,1,40,29,70630.95
SRM Main Campus,Ajmer,Executive,51099.00,3,71,49,67516.63
NIT Kurukshetra,Surat,Executive,51591.00,1,79,37,67573.29
NIT Calicut,Durgapur,Executive,61057.00,1,41,44,80714.79
IIT Guwahati,Kozhikode,Executive,48280.00,4,79,18,75430.51
"Amrita University, Coimbatore",Asansol,Executive,57606.00,4,78,20,54071.79
IIT Delhi,Rajpur Sonarpur,Manager,55440.00,4,72,44,112826.26
BITS Pilani (Hyderabad Campus),Surat,Executive,54055.00,1,63,47,60944.33
IIIT Hyderabad,Kolhapur,Executive,49862.00,3,82,26,65065.52
SVNIT Surat,Rourkela,Manager,56204.00,2,65,19,82667.77
NIT Patna,Chennai,Executive,65161.00,2,41,52,82517.59
IIT Delhi,Asansol,Manager,42143.00,3,38,32,88208.37
NIT Calicut,Kolhapur,Executive,57924.00,4,62,38,68023.41
"KIIT, Bhubaneswar",Pune,Executive,48755.00,2,69,59,73464.75
NIT Patna,Chennai,Executive,50926.00,3,83,61,77222.00
LNMIIT,Rourkela,Executive,65158.00,3,67,53,67163.57
"Amrita University, Coimbatore",Chennai,Executive,46073.00,4,73,19,59241.32
"KIIT, Bhubaneswar",Chennai,Executive,53110.00,4,43,20,72322.79
LNMIIT,Durgapur,Executive,50180.00,1,41,22,55226.53
NIT Surathkal (Karnataka),Hyderabad,Executive,61124.00,3,64,19,73417.07
SRM Main Campus,Surat,Executive,54583.00,3,82,22,63534.87
IIT Madras,Surat,Executive,52400.00,3,72,54,90774.04
IIT ISM Dhanbad,Pune,Executive,64264.00,1,51,22,77666.95
DTU,Surat,Executive,44197.00,3,52,34,95868.30
IGDTUW,Ajmer,Executive,56273.00,1,75,26,74544.57
IIT Kharagpur,Hyderabad,Manager,47481.00,4,42,34,77150.63
NSUT Delhi (NSIT),Ajmer,Executive,58053.00,1,53,29,86298.82
IIT Kanpur,Asansol,Manager,58071.00,4,76,30,74697.64
"Heritage Institute of Technology, Kolkata",Asansol,Executive,66845.00,1,60,29,58695.65
"MSIT, Delhi",Delhi,Manager,60396.00,3,72,46,96190.72
"Cummins College of Engineering for Women, Pune",Pune,Executive,67056.00,3,55,51,63582.13
"MAIT, Delhi",Chennai,Executive,63823.00,4,39,53,61586.14
NIT Sikkim,Surat,Executive,49475.00,3,71,19,75037.68
IIITM Gwalior,Delhi,Executive,50330.00,3,80,35,61282.09
"Heritage Institute of Technology, Kolkata",Rajpur Sonarpur,Executive,57858.00,4,43,48,71522.23
Manipal Main Campus,Kozhikode,Executive,61627.00,3,58,32,74596.33
Manipal Main Campus,Delhi,Manager,49733.00,1,76,42,77168.22
TIET/Thapar University,Kolkata,Executive,55308.00,2,36,40,75028.75
BIT Mesra,Surat,Executive,66048.00,4,80,44,76619.74
IIIT Lucknow,Ahmedabad,Manager,49405.00,1,63,48,75910.11
IIT ISM Dhanbad,Kolkata,Manager,49810.00,1,47,18,73056.77
"BMS College, Bangalore",Ajmer,Manager,56330.00,4,46,30,94478.70
NSUT Delhi (NSIT),Rourkela,Executive,56485.00,2,36,50,69960.25
MNNIT Allahabad,Asansol,Manager,47053.00,2,46,42,67407.05
IIT Indore,Delhi,Manager,64179.00,4,74,18,97119.39
IIEST/BESU Shibpur,Rourkela,Executive,60385.00,4,78,54,83984.48
"Cummins College of Engineering for Women, Pune",Asansol,Executive,50963.00,2,45,32,76385.23
Manipal Main Campus,Ahmedabad,Executive,50024.00,1,77,37,66216.70
BITS Pilani (Pilani Campus),Kolhapur,Executive,50334.00,2,36,47,82526.93
BITS Pilani (Hyderabad Campus),Kolkata,Executive,61054.00,3,68,20,74459.25
IIEST/BESU Shibpur,Bangalore,Executive,58629.00,3,39,32,62936.70
"IEM, Kolkata",Kozhikode,Executive,52519.00,2,45,19,59425.89
MNNIT Allahabad,Chennai,Executive,46993.00,3,50,27,69437.63
DTU,Delhi,Executive,67559.00,4,45,63,72083.49
IIIT Delhi,Hyderabad,Executive,55944.00,2,53,49,69163.36
"Techno India, Kolkata",Rourkela,Executive,38709.00,3,56,18,72747.12
NIT Sikkim,Chennai,Executive,61130.00,3,58,35,66726.94
NIT Patna,Asansol,Executive,54941.00,2,50,24,57067.63
BIT Mesra,Ahmedabad,Manager,58639.00,2,46,63,109108.12
"Heritage Institute of Technology, Kolkata",Bangalore,Executive,52098.00,2,84,38,73831.46
BITS Pilani (Hyderabad Campus),Asansol,Executive,53618.00,2,52,54,79031.20
BITS Pilani (Hyderabad Campus),Bangalore,Executive,57261.00,4,62,46,77631.46
Amity University,Chennai,Executive,53158.00,4,66,41,78524.15
NSUT Delhi (NSIT),Bangalore,Executive,53511.00,1,84,58,70856.24
SRM Main Campus,Kolkata,Executive,58408.00,2,56,18,61042.81
"MAIT, Delhi",Durgapur,Executive,46722.00,2,49,22,66407.61
NIT Durgapur,Pune,Executive,49331.00,1,78,44,71632.13
Jadavpur University,Delhi,Executive,53717.00,2,41,44,78002.78
IIIT Lucknow,Durgapur,Manager,70258.00,4,38,36,115126.75
VIT Vellore,Kozhikode,Executive,53186.00,3,62,26,58559.16
"Dayanand College of Engineering, Bangalore",Delhi,Executive,59273.00,1,80,30,62275.25
IIT Roorkee,Kolkata,Executive,59466.00,3,45,41,73749.44
SRM Main Campus,Kolkata,Executive,55639.00,1,40,29,55927.32
MNNIT Allahabad,Delhi,Executive,61138.00,3,68,61,67174.81
IIIT Lucknow,Bangalore,Executive,47831.00,4,74,36,70249.63
TIET/Thapar University,Pune,Executive,51919.00,4,82,25,69896.22
NIT Surathkal (Karnataka),Kolkata,Executive,49310.00,1,47,56,68123.80
IIT Roorkee,Bangalore,Executive,61973.00,1,51,18,56131.76
"Cummins College of Engineering for Women, Pune",Kolkata,Executive,52475.00,3,39,19,63426.48
NIT Patna,Rourkela,Executive,62262.00,3,43,39,68762.60
"Techno India, Kolkata",Kolkata,Executive,49159.00,3,57,45,65693.05
IIIT Hyderabad,Delhi,Executive,44451.00,1,65,51,59721.74
BITS Pilani (Goa Campus),Pune,Executive,64873.00,3,48,64,85224.19
IIT Ropar,Bangalore,Executive,55261.00,1,36,19,53356.72
NIT Bhopal,Rajpur Sonarpur,Executive,53405.00,1,46,48,67405.54
LNMIIT,Pune,Executive,48982.00,3,77,60,73639.06
SRM Main Campus,Ahmedabad,Manager,60286.00,1,73,27,91956.84
BITS Pilani (Hyderabad Campus),Hyderabad,Executive,44712.00,2,49,46,76451.55
"Heritage Institute of Technology, Kolkata",Surat,Executive,49882.00,2,57,28,64100.13
"USIT, Delhi",Bangalore,Executive,46791.00,3,59,59,78379.79
"KIIT, Bhubaneswar",Asansol,Manager,52585.00,3,78,35,77592.94
Jadavpur University,Kolkata,Executive,59130.00,1,79,63,70314.89
NIT Surathkal (Karnataka),Surat,Executive,63061.00,4,36,40,72339.71
BITS Pilani (Hyderabad Campus),Ahmedabad,Executive,55293.00,4,39,20,75774.95
Manipal Main Campus,Surat,Executive,54222.00,4,40,40,71232.98
NIT Raipur,Asansol,Executive,48720.00,3,66,24,61022.27
IIIT Allahabad,Asansol,Executive,49971.00,2,77,34,69437.41
IIT Roorkee,Hyderabad,Executive,58774.00,4,70,45,73028.67
IIT Delhi,Ahmedabad,Executive,59781.00,1,46,41,76811.45
SVNIT Surat,Bangalore,Executive,54690.00,3,71,53,65923.72
VIT Vellore,Hyderabad,Executive,43494.00,1,60,27,68676.93
DAIICT,Hyderabad,Executive,54356.00,1,69,26,67766.33
BIT Mesra,Delhi,Executive,44261.00,4,64,24,75535.50
Punjab Engineering College,Kozhikode,Executive,61570.00,3,74,34,75762.91
NIT Rourkela,Ahmedabad,Executive,59600.00,3,52,53,75588.76
VNIT Nagpur,Pune,Executive,52971.00,2,56,32,70086.07
"IEM, Kolkata",Durgapur,Manager,57963.00,2,60,19,96125.18
VNIT Nagpur,Surat,Manager,44781.00,2,75,42,80753.62
Punjab Engineering College,Rourkela,Executive,62903.00,4,82,55,71048.24
Amity University,Durgapur,Executive,58282.00,4,78,28,71454.90
NIT Jalandhar,Durgapur,Executive,66411.00,1,47,58,87222.87
SRM Main Campus,Rourkela,Executive,58109.00,4,44,41,75683.99
NIT Patna,Bangalore,Executive,51572.00,4,35,47,78834.20
IIT Madras,Durgapur,Executive,63031.00,1,48,42,72943.91
IIT Delhi,Hyderabad,Executive,54081.00,1,42,59,66774.11
NIT Sikkim,Ahmedabad,Executive,45676.00,4,81,19,58845.40
Manipal Main Campus,Delhi,Executive,52116.00,2,60,59,75689.83
NIT Silchar,Kolkata,Executive,46127.00,1,56,39,68623.41
IIT Roorkee,Rajpur Sonarpur,Manager,48343.00,3,78,40,68392.67
IIT Kharagpur,Durgapur,Executive,56666.00,3,47,18,53730.63
NIT Silchar,Bangalore,Executive,67170.00,4,55,31,69913.11
"Amrita University, Coimbatore",Durgapur,Manager,51096.00,3,70,19,80820.27
BITS Pilani (Goa Campus),Pune,Executive,64120.00,2,35,44,71001.53
IIT Kanpur,Durgapur,Manager,59001.00,2,81,23,89974.05
Manipal Main Campus,Kozhikode,Executive,45187.00,3,74,33,71161.34
MNNIT Allahabad,Bangalore,Executive,53027.00,4,69,55,106846.34
IIT Madras,Kolkata,Executive,55858.00,4,47,40,77673.29
"PES University, Bangalore",Kolkata,Manager,49074.00,3,58,63,84287.39
MNNIT Allahabad,Rajpur Sonarpur,Executive,54121.00,3,51,54,84320.29
IIIT Allahabad,Kozhikode,Executive,61285.00,3,44,60,77283.59
"Dayanand College of Engineering, Bangalore",Hyderabad,Executive,63140.00,1,44,24,68416.86
MNNIT Allahabad,Ajmer,Executive,44907.00,1,60,19,70186.19
IGDTUW,Ajmer,Executive,52054.00,2,67,29,73394.09
IIT Guwahati,Delhi,Manager,44353.00,3,75,18,70056.31
BITS Pilani (Goa Campus),Durgapur,Manager,54987.00,3,69,63,111873.30
IIT BHU (Varanasi),Ahmedabad,Manager,54808.00,2,51,54,101785.04
Manipal Main Campus,Kozhikode,Executive,58153.00,3,55,27,76298.90
NIT Kurukshetra,Bangalore,Manager,51912.00,2,66,50,113141.14
IIT ISM Dhanbad,Surat,Executive,51735.00,1,67,55,71890.09
NIT Tiruchipally (Trichy),Delhi,Manager,55928.00,4,75,56,108750.87
IIT Ropar,Surat,Executive,61132.00,1,72,38,68120.03
"PES University, Bangalore",Bangalore,Executive,47560.00,4,70,51,67760.38
"PES University, Bangalore",Pune,Manager,53080.00,3,68,19,97151.38
DTU,Ahmedabad,Executive,46136.00,1,73,58,81234.60
IIT Ropar,Delhi,Manager,54869.00,2,76,20,72296.79
"MAIT, Delhi",Ajmer,Manager,53471.00,3,58,52,82735.40
"BMS College, Bangalore",Asansol,Manager,66355.00,1,81,19,99815.96
NIT Jamshedpur,Durgapur,Executive,62836.00,4,41,53,72755.38
BITS Pilani (Pilani Campus),Bangalore,Manager,70468.00,2,38,46,111172.92
IIT Kanpur,Asansol,Manager,45743.00,4,45,40,80222.50
DTU,Pune,Executive,54083.00,3,83,59,70531.82
IIT Kanpur,Rajpur Sonarpur,Executive,50573.00,3,60,45,70207.24
IIT Kharagpur,Rajpur Sonarpur,Executive,46637.00,4,46,49,66843.75
Manipal Main Campus,Kozhikode,Executive,50393.00,4,55,18,60213.58
NIT Sikkim,Kozhikode,Manager,63916.00,1,70,50,105334.50
IIT BHU (Varanasi),Ajmer,Executive,62911.00,3,65,41,65659.69
"KIIT, Bhubaneswar",Kozhikode,Executive,56876.00,1,35,50,83092.16
"BMS College, Bangalore",Rajpur Sonarpur,Executive,54032.00,1,38,25,66571.17
NIT Warangal,Chennai,Executive,52888.00,4,76,47,78083.21
SVNIT Surat,Chennai,Executive,43457.00,1,74,19,62954.41
DTU,Asansol,Executive,51281.00,3,55,22,66298.70
"PES University, Bangalore",Rajpur Sonarpur,Executive,54806.00,2,57,59,82475.16
NIT Surathkal (Karnataka),Bangalore,Executive,49646.00,1,59,51,74374.60
IIT BHU (Varanasi),Ajmer,Manager,52883.00,1,55,40,78949.12
NSUT Delhi (NSIT),Hyderabad,Manager,68419.00,4,46,54,106418.32
"USIT, Delhi",Bangalore,Executive,50242.00,4,71,30,70060.23
IIT Madras,Kolhapur,Executive,57133.00,3,72,55,77111.81
VIT Vellore,Bangalore,Executive,52065.00,4,80,52,68439.79
"Dayanand College of Engineering, Bangalore",Ajmer,Executive,53490.00,2,72,46,68607.86
IIT Ropar,Asansol,Executive,68539.00,3,51,46,76839.09
"PES University, Bangalore",Rajpur Sonarpur,Executive,48471.00,1,52,63,70363.67
IIT Roorkee,Hyderabad,Manager,59759.00,4,67,59,104376.58
IGDTUW,Ahmedabad,Executive,48380.00,2,76,52,83078.61
VNIT Nagpur,Hyderabad,Executive,56990.00,3,85,28,72326.83
NSUT Delhi (NSIT),Hyderabad,Executive,51090.00,3,80,29,88238.24
"USIT, Delhi",Kozhikode,Manager,74198.00,1,57,25,99644.51
Jadavpur University,Pune,Executive,49883.00,2,83,22,60621.48
IIIT Jabalpur,Surat,Executive,54757.00,1,70,25,81168.14
"BMS College, Bangalore",Kolhapur,Executive,47031.00,1,77,18,69525.73
IIT Madras,Rourkela,Manager,50737.00,3,59,19,80080.39
"MSIT, Delhi",Kozhikode,Manager,51867.00,3,71,47,82688.35
NIT Sikkim,Kolhapur,Manager,55886.00,1,59,31,96427.67
Jadavpur University,Bangalore,Executive,58056.00,2,35,48,69477.19
R.V. College of Engineering,Pune,Executive,53101.00,4,70,36,74538.40
NIT Jamshedpur,Bangalore,Manager,48782.00,4,48,53,79584.68
IIT Guwahati,Ajmer,Executive,61585.00,1,43,56,74831.10
Manipal Main Campus,Rajpur Sonarpur,Executive,59979.00,4,75,28,58131.91
IIT BHU (Varanasi),Rajpur Sonarpur,Executive,63899.00,1,56,57,84743.00
"Techno India, Kolkata",Hyderabad,Executive,54798.00,1,54,29,75534.40
"MSIT, Delhi",Pune,Executive,54744.00,4,78,28,81481.56
NIT Calicut,Bangalore,Executive,58383.00,2,46,30,69300.19
IIT BHU (Varanasi),Surat,Executive,58709.00,4,85,58,90313.75
Jadavpur University,Ahmedabad,Executive,54126.00,2,43,41,73396.24
"Amrita University, Coimbatore",Pune,Executive,52976.00,4,50,50,70039.59
BITS Pilani (Hyderabad Campus),Pune,Executive,50339.00,2,60,19,70424.37
"Dayanand College of Engineering, Bangalore",Asansol,Manager,61609.00,2,74,43,91694.57
"KIIT, Bhubaneswar",Kozhikode,Executive,63395.00,1,66,49,74782.68
"Techno India, Kolkata",Asansol,Manager,61270.00,2,73,27,102262.82
IIT BHU (Varanasi),Asansol,Executive,61862.00,4,51,52,79093.55
IIT Guwahati,Kozhikode,Executive,60695.00,1,62,50,70326.56
SRM Main Campus,Rajpur Sonarpur,Executive,59922.00,3,42,54,86260.00
BIT Mesra,Kolkata,Executive,53748.00,2,74,44,63434.77
IIIT Delhi,Delhi,Executive,62196.00,2,69,32,66943.01
IIT Guwahati,Rajpur Sonarpur,Executive,52827.00,2,43,34,65127.58
NIT Sikkim,Pune,Executive,56003.00,1,68,26,79572.91
"PES University, Bangalore",Delhi,Manager,60107.00,3,40,34,108959.68
IIT Guwahati,Kozhikode,Executive,67292.00,3,46,57,75485.17
IIIT Jabalpur,Surat,Executive,49605.00,4,58,29,66564.34
IIIT Lucknow,Pune,Executive,63647.00,3,50,40,77855.11
IGDTUW,Bangalore,Executive,48581.00,4,69,27,58157.33
NIT Surathkal (Karnataka),Chennai,Manager,63334.00,1,71,45,94904.92
"KIIT, Bhubaneswar",Kolhapur,Manager,62264.00,2,52,64,114996.23
DAIICT,Kolhapur,Executive,61180.00,1,53,52,84453.82
IIT Guwahati,Hyderabad,Manager,63370.00,1,38,61,112185.30
IGDTUW,Rajpur Sonarpur,Manager,52121.00,4,64,52,85433.78
IIT Delhi,Durgapur,Executive,58782.00,4,81,61,71725.42
MNIT Jaipur,Kozhikode,Executive,52717.00,3,81,56,69686.43
"BMS College, Bangalore",Pune,Executive,65291.00,2,51,43,87624.82
"BMS College, Bangalore",Kozhikode,Executive,62820.00,3,62,64,75366.41
"IEM, Kolkata",Bangalore,Executive,55219.00,3,36,60,69293.67
Manipal Main Campus,Surat,Executive,50637.00,4,81,62,72653.54
IIT Ropar,Chennai,Manager,56777.00,3,72,50,101676.27
"USIT, Delhi",Hyderabad,Executive,48367.00,2,82,46,64602.94
IIT Ropar,Chennai,Executive,50440.00,4,49,24,84891.91
"Amrita University, Coimbatore",Kozhikode,Executive,56640.00,4,59,62,80912.22
BITS Pilani (Goa Campus),Kolhapur,Executive,52862.00,4,38,60,75668.60
NIT Durgapur,Bangalore,Executive,66238.00,4,37,63,87865.95
IGDTUW,Surat,Executive,63067.00,2,41,49,72570.68
BIT Mesra,Ahmedabad,Executive,50768.00,4,65,34,63243.71
"KIIT, Bhubaneswar",Asansol,Executive,62897.00,2,57,33,64127.09
Amity University,Rourkela,Executive,56970.00,3,43,46,81291.41
IIT Ropar,Asansol,Executive,50145.00,2,57,36,58437.39
IIIT Lucknow,Hyderabad,Executive,57744.00,3,71,19,68804.22
"Cummins College of Engineering for Women, Pune",Ajmer,Executive,50546.00,2,70,57,65555.15
"KIIT, Bhubaneswar",Asansol,Executive,49630.00,3,39,50,78953.09
IIIT Hyderabad,Pune,Executive,49201.00,1,75,30,71665.52
NIT Kurukshetra,Rourkela,Executive,59672.00,1,41,33,78716.54
IIT Madras,Kozhikode,Executive,65360.00,4,85,18,67305.64
SVNIT Surat,Bangalore,Executive,56630.00,4,78,46,91874.27
"BMS College, Bangalore",Bangalore,Executive,66225.00,2,52,46,68828.39
NIT Silchar,Bangalore,Executive,50905.00,1,51,47,71592.06
IGDTUW,Hyderabad,Executive,70139.00,3,57,23,69655.87
NIT Warangal,Bangalore,Executive,50225.00,3,78,18,55965.32
IIT Delhi,Rajpur Sonarpur,Executive,58491.00,1,82,48,77992.00
IIT Roorkee,Delhi,Executive,54429.00,3,73,35,67723.64
IIT Kanpur,Kolkata,Manager,48660.00,4,40,19,69552.90
NIT Warangal,Durgapur,Executive,54944.00,4,52,21,71319.69
IIT Madras,Ahmedabad,Executive,45569.00,1,45,21,61314.49
IIT Delhi,Asansol,Executive,54688.00,3,72,49,77659.80
NIT Patna,Rourkela,Executive,55031.00,3,38,56,79567.50
NIT Surathkal (Karnataka),Kolhapur,Executive,47800.00,3,51,42,64852.24
NIT Rourkela,Rajpur Sonarpur,Executive,53525.00,3,76,44,76874.67
"Cummins College of Engineering for Women, Pune",Chennai,Executive,58158.00,4,52,18,74609.27
DTU,Kozhikode,Executive,45831.00,4,50,61,67830.32
IIT Madras,Chennai,Executive,49068.00,3,38,57,76946.27
"MSIT, Delhi",Bangalore,Executive,59055.00,1,62,42,74170.88
IIT Kharagpur,Rourkela,Manager,56061.00,1,50,26,89914.73
NIT Jamshedpur,Hyderabad,Executive,54739.00,1,41,20,57101.04
BITS Pilani (Pilani Campus),Bangalore,Manager,48909.00,1,63,23,72988.31
"Dayanand College of Engineering, Bangalore",Rajpur Sonarpur,Manager,53938.00,1,61,39,75465.42
NIT Durgapur,Chennai,Manager,64117.00,4,77,24,98229.46
